title,companyName,location,skillsNeeded,category,description,createdAt,id
Digital Marketing,Skillearnify Academy,Work From Home,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,11
"Agriculture, Horticulture And Rural Development Research",Earth5R,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,12
General Management,Aaptatt,Gurgaon,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a General Management, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,13
Software Engineer - Internship,EGovernments Foundation,Bangalore,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Software Engineer - Internship, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,14
Business Development (Sales),SS Advisory Services Private Limited,Kolkata,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,15
Customer Data Management,Devas Unlimited,Bagalur,"['Data Analysis', 'Excel', 'SQL', 'Reporting']",General,"Analyze large datasets, generate insights, and create visualizations to support data-driven decision making.",2025-09-25 09:35:43.803191,16
Search Engine Optimization (SEO),Qriocity Ventures Private Limited,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Search Engine Optimization (SEO), applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,17
Social Media Marketing,LEARNYARD,Work From Home,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,18
Teaching (Robotics & STEM),ROBO-G,Bangalore,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Teaching (Robotics & STEM), applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,19
Android App Development,EI Networks Private Limited (FaceChk),Delhi,"['Java', 'Kotlin', 'Android Studio', 'Mobile UI/UX']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,20
WordPress Development,The Devisors Technologies,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,21
Content Writing,Pereyan LLP,Bangalore,"['Content Writing', 'SEO', 'Research', 'Editing', 'Creativity']",General,"Research topics, write high-quality content, and optimize for SEO to increase engagement.",2025-09-25 09:35:43.803191,22
Graphic Design,H3A Business Solutions Private Limited,Noida,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,23
Ad Strategy,MARS Cosmetics,Delhi,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Ad Strategy, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,24
Social Media,DigiMaaya,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Social Media, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,25
Human Resources (HR),Webtonic Technologies Private Limited,Navi Mumbai,"['Recruitment', 'Communication', 'HR Tools', 'Onboarding']",General,"Support recruitment, employee engagement, and onboarding processes for smooth HR operations.",2025-09-25 09:35:43.803191,26
Human Resources (HR),Phenom Placement,Work From Home,"['Recruitment', 'Communication', 'HR Tools', 'Onboarding']",General,"Support recruitment, employee engagement, and onboarding processes for smooth HR operations.",2025-09-25 09:35:43.803191,27
Customer Service,Mood For Food,Bangalore,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Customer Service, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,28
Website Content Management,TechyMonk Solutions,Work From Home,"['Content Writing', 'SEO', 'Research', 'Editing', 'Creativity']",General,"Research topics, write high-quality content, and optimize for SEO to increase engagement.",2025-09-25 09:35:43.803191,29
Travel Sales And Operations,Velvet Triip,Delhi,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Engage in client interactions, generate leads, and assist in business growth through effective communication.",2025-09-25 09:35:43.803191,30
Accounting,Dr. H.B Mishra English High School,Mumbai,"['Financial Analysis', 'Excel', 'Accounting', 'Reporting']",Finance,"Assist in financial reporting, data analysis, and preparing accounting statements.",2025-09-25 09:35:43.803191,31
Robotics & IoT,Aeonix Research And Innovations,Kolkata,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Robotics & IoT, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,32
Data Entry,XTEN-AV,Work From Home,"['Data Analysis', 'Excel', 'SQL', 'Reporting']",General,"Analyze large datasets, generate insights, and create visualizations to support data-driven decision making.",2025-09-25 09:35:43.803191,33
Teaching,Jeevan Jaagrati Foundation,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Teaching, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,34
Financial Market,Trading Shalaa,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Financial Market, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,35
Market Research,Energy Alternatives India,Chennai,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Market Research, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,36
Technical Architecture,"EmendoAI (San Francisco, United States)",Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Technical Architecture, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,37
Retail Sales,DailyObjects,Gurgaon,"['Machine Learning', 'Deep Learning', 'Python', 'TensorFlow', 'Data Analysis']",Marketing,"Work on machine learning models, AI applications, and contribute to intelligent automation solutions.",2025-09-25 09:35:43.803191,38
International Business Development,UltraGenius Tech Private Limited,Mumbai,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,39
Subject Matter Expert (SME) Accounting,Solvitude,Work From Home,"['Financial Analysis', 'Excel', 'Accounting', 'Reporting']",Finance,"Assist in financial reporting, data analysis, and preparing accounting statements.",2025-09-25 09:35:43.803191,40
Autocad design,BrainCells (Thought River Edutech Private Limited),Pune,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,41
Market Research,Comet Bengaluru,Bangalore,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Market Research, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,42
Graphic Design,Vp Development,Delhi,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,43
Social Media Marketing,Insta Beverages,Work From Home,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,44
Subject Matter Expert (Economics),Paradise Edu Services,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Subject Matter Expert (Economics), applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,45
Market Research (Sustainable Finance),IICSR,Work From Home,"['Machine Learning', 'Deep Learning', 'Python', 'TensorFlow', 'Data Analysis']",Finance,"Work on machine learning models, AI applications, and contribute to intelligent automation solutions.",2025-09-25 09:35:43.803191,46
Full Stack Development,Heliverse,Work From Home,"['HTML', 'CSS', 'JavaScript', 'React', 'Node.js', 'Databases']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,47
Subject Matter Expert (Physics),Paradise Edu Services,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Subject Matter Expert (Physics), applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,48
Operations,Rydeu Logistics UG,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Operations, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,49
PHP Development,SoftSolvate,Delhi,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,50
Digital Marketing,Maharashtra Mirror News,Mumbai,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,51
Content Writing,Musumee House Of Brands Private Limited,Pune,"['Content Writing', 'SEO', 'Research', 'Editing', 'Creativity']",General,"Research topics, write high-quality content, and optimize for SEO to increase engagement.",2025-09-25 09:35:43.803191,52
Finance & Accounts,SaaS Labs Incorporation,Work From Home,"['Financial Analysis', 'Excel', 'Accounting', 'Reporting']",Finance,"Assist in financial reporting, data analysis, and preparing accounting statements.",2025-09-25 09:35:43.803191,53
Field Sales,Magicstep Solutions Private Limited,Bhubaneswar,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Engage in client interactions, generate leads, and assist in business growth through effective communication.",2025-09-25 09:35:43.803191,54
Content Writing,ITvisitors Consulting,Work From Home,"['Content Writing', 'SEO', 'Research', 'Editing', 'Creativity']",General,"Research topics, write high-quality content, and optimize for SEO to increase engagement.",2025-09-25 09:35:43.803191,55
Digital & Social Media Marketing,Funky Unicorn Enterprises,Work From Home,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,56
Field Sales,MIDIND Industrial Development Limited,Navi Mumbai,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Engage in client interactions, generate leads, and assist in business growth through effective communication.",2025-09-25 09:35:43.803191,57
Marketing,Impact Health,Work From Home,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,58
Online Western Vocals Tutoring,Narigiri's Connect To Universe Private Limited,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Online Western Vocals Tutoring, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,59
Field Reporting & Copy Writing,Bengawalk,Bangalore,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Field Reporting & Copy Writing, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,60
Business Development (Sales),XRM Labs,Work From Home,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,61
Digital Marketing,Parthavi  Yadav,Work From Home,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,62
Content Writing And Social Media,Priyanshi  Agrawal,Ahmedabad,"['Content Writing', 'SEO', 'Research', 'Editing', 'Creativity']",General,"Research topics, write high-quality content, and optimize for SEO to increase engagement.",2025-09-25 09:35:43.803191,63
Website Design,Volunteers Of Vrindavan,Work From Home,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,64
Subject Matter Expert (Chemistry),HaZZten,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Subject Matter Expert (Chemistry), applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,65
Telecalling,MIDIND Industrial Development Limited,Navi Mumbai,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Telecalling, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,66
Social Media Marketing,INFINITIO TECHNOLOGY SOLUTIONS PRIVATE LIMITED,Work From Home,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,67
Printed Circuit Board Design,Primary Healthtech,Delhi,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,68
Graphic Design,Girish Jain Proptech Private Limited,Noida,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,69
Architecture,Anupam Kumar Architects,Varanasi,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Architecture, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,70
Event Management,Star Production,Delhi,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Event Management, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,71
Social Media Marketing,MetaSaga,Mumbai,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,72
Supply Chain Management (SCM),Countai Private Limited,Coimbatore,"['Machine Learning', 'Deep Learning', 'Python', 'TensorFlow', 'Data Analysis']",General,"Work on machine learning models, AI applications, and contribute to intelligent automation solutions.",2025-09-25 09:35:43.803191,73
Video Making/Editing,Architta Sethu,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Video Making/Editing, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,74
Social Media Management,Akanksha Gupta,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Social Media Management, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,75
Electrical Engineering,Isourse,Delhi,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,76
"Game Development, AR/VR",Dec Gaming Studio Private Limited,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,77
General Management,Adore Earth,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a General Management, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,78
Business Development (Sales),CyberFrat,Mumbai,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,79
Business Development Research,Crrescita,Delhi,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,80
Social Media Management,Crystal Salon,Mumbai,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Social Media Management, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,81
R&D - Power Electronics And Drives,Greendzine Technologies,Bangalore,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a R&D - Power Electronics And Drives, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,82
Cold Calling,JBL Logistics LLP,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Cold Calling, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,83
Technical,Coditas Solutions Private Limited,Pune,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Technical, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,84
Content Creation & Strategy,ThinkWhy,Ahmedabad,"['Content Writing', 'SEO', 'Research', 'Editing', 'Creativity']",General,"Research topics, write high-quality content, and optimize for SEO to increase engagement.",2025-09-25 09:35:43.803191,85
Social Entrepreneurship,NayePankh Foundation,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",Social Impact,"Contribute effectively as a Social Entrepreneurship, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,86
Social Media Marketing,Surgtest,Work From Home,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,87
Informative Reel Creation,Top Talent Bridge,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Informative Reel Creation, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,88
Human Resources (HR),Institute Of Management Studies Noida,Noida,"['Recruitment', 'Communication', 'HR Tools', 'Onboarding']",General,"Support recruitment, employee engagement, and onboarding processes for smooth HR operations.",2025-09-25 09:35:43.803191,89
Omni Sport Leadership - Hiking/Trekking,Decathlon,Mumbai,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Omni Sport Leadership - Hiking/Trekking, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,90
Digital Marketing,Flashy Panels,Work From Home,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,91
Instagram Reels Creation,ScaleZone,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Instagram Reels Creation, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,92
Graphic Design,Funberry Foods Private Limited  (TROFFINO),Mumbai,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,93
Web App Development,Greendzine Technologies,Bangalore,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,94
Social Media Marketing,The Affordable Organic Store,Work From Home,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,95
Competitor Research,Top Talent Bridge,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Competitor Research, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,96
Flutter Development,Build With Innovation Private Limited,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,97
Business Development (Sales),Weboin Technologies Private Limited,Chennai,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,98
Social Media Marketing,Carebuddy Private Limited,Indore,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,99
Digital Marketing And Advertising,SYCLES,Work From Home,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,100
Tech Journalism,"Techstory (Seattle, United States)",Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Tech Journalism, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,101
Inside Sales,Stirring Minds,Delhi,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Engage in client interactions, generate leads, and assist in business growth through effective communication.",2025-09-25 09:35:43.803191,102
Graphic Design,Pueritia Foods Private Limited,Work From Home,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,103
Apparel Designing,Creatnet Services Limited,Noida,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,104
Placement Executive,Digital Dojo Training Academy,Mumbai,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Placement Executive, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,105
Performance Marketing,MediaX Digital Services,Delhi,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,106
Stock Market,Trading Shalaa,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Stock Market, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,107
Human Resources (HR),MindMap IT Solutions,Work From Home,"['Recruitment', 'Communication', 'HR Tools', 'Onboarding']",General,"Support recruitment, employee engagement, and onboarding processes for smooth HR operations.",2025-09-25 09:35:43.803191,108
Business Development (Sales),Wealthvidya,Mumbai,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,109
Music Creation/Composing,FreePNGImg,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Music Creation/Composing, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,110
Content Development (English),PromoDome Digital LLP,Mumbai,"['Content Writing', 'SEO', 'Research', 'Editing', 'Creativity']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,111
Cafe Management,Panda On Diet,Bangalore,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Cafe Management, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,112
Application Engineering - 3D Printing,Voxelwerks 3D Solutions Private Limited,Noida,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,113
Hotel Management (Service),One Root,Bangalore,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Hotel Management (Service), applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,114
Business Development,Vistaar Digital Communications Private Limited,Mumbai,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,115
Video Editing,Pickle Jar Media,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Video Editing, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,116
Teaching (French),GEMA Education Technology Private Limited,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Teaching (French), applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,117
Data Analytics,Stirring Minds,Delhi,"['Data Analysis', 'Excel', 'SQL', 'Reporting']",General,"Analyze large datasets, generate insights, and create visualizations to support data-driven decision making.",2025-09-25 09:35:43.803191,118
Graphic Design,Web 3 Wellness,Zirakpur,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,119
UX/UI Design,Creatiwise,Work From Home,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,120
Sales,Voy Media,Hyderabad,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Engage in client interactions, generate leads, and assist in business growth through effective communication.",2025-09-25 09:35:43.803191,121
Business Development Management,YAALEESH INFOTECH,Work From Home,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,122
Tele-Counseling,Innvictis Edutech,Noida,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Tele-Counseling, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,123
MIS Executive,STM Technologies,Navi Mumbai,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a MIS Executive, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,124
Content Marketing,Blackcoffer,Work From Home,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,125
Accounting & Tally,Gandhi Institute For Education And Technology,Bhubaneswar,"['Financial Analysis', 'Excel', 'Accounting', 'Reporting']",Finance,"Assist in financial reporting, data analysis, and preparing accounting statements.",2025-09-25 09:35:43.803191,126
